1005;AUDIGYMA0009805;172.18.106.16;0;1;10;L001
1135;AUDIGYMA0009908;172.18.106.86;0;1;11;L001
1170;AUDIGYMA0009748;172.18.106.106;0;1;10;L001
1290;AUDIGYMA0009891;172.18.106.171;0;1;12;L001
teszt;AUDIGYMA0009805;172.18.106.16;0;1;90;L001
